IDventa,Numero de Ticket,Nombre cliente,IDVendedor
1,1000,Belen Antúnez Macias,6
2,1001,Jennifer Valle Iglesia,5
3,1002,Wilfredo Acuña Ribes,6
4,1003,Manu Ariño Manzanares,4
5,1004,Raimundo Prats Talavera,4
6,1005,Jordi Manuel Ferrándiz Amador,5
7,1006,Maxi Manzano Valenciano,4
8,1007,Emelina Méndez Martínez,1
9,1008,Jose Francisco Toledo Requena,9
10,1009,Amor Abella Hierro,3
11,1010,Claudio Girona-Ojeda,3
12,1011,Carmina Plana Almazán,8
13,1012,Marta Soto,2
14,1013,Aristides Albano Carvajal Domingo,9
15,1014,Pascual Sola Olmedo,10
16,1015,Iván Feijoo Montoya,3
17,1016,Marita Castilla-Sarabia,9
18,1017,Rosario Ropero Ortiz,2
19,1018,Aurelia Giner Carrera,9
20,1019,Jose Francisco Godofredo Garrido Sarabia,5
21,1020,Ofelia Quintanilla Agustín,4
22,1021,Dani del Mateo,8
23,1022,Virginia Cuéllar Estevez,6
24,1023,Jeremías Huertas-Espada,5
25,1024,Severino Saavedra Benavente,7
26,1025,Jordán Perales Revilla,1
27,1026,Dorotea Emilia Lumbreras Escrivá,9
28,1027,Guadalupe de Cerdán,1
29,1028,María Dolores Porta Agudo,10
30,1029,Cosme Benítez Alemán,2
31,1030,Fortunato Torralba Olmo,2
32,1031,Consuela Fuster Oliver,5
33,1032,Eloísa Luján Ariza,2
34,1033,Marcio Chacón Borrell,5
35,1034,Geraldo Cobos Escalona,4
36,1035,Agapito Galván Gimeno,6
37,1036,Gastón Segura Clavero,6
38,1037,Bernarda Lopez Mena,4
39,1038,Victor del Baquero,5
40,1039,Modesto del Casals,3
41,1040,Lázaro Barriga Tomas,9
42,1041,Cleto Valbuena Vilaplana,1
43,1042,Berto del Ferrera,6
44,1043,Quique Uriarte Pina,10
45,1044,Nydia Borrás Barrio,9
46,1045,Loreto Jerónimo Ojeda Zaragoza,7
47,1046,Ana Belén Rosalina Canet Ángel,6
48,1047,Graciela Tapia Pera,10
49,1048,Gracia de Hoyos,2
50,1049,Esperanza Guerra Menéndez,6
51,1050,Salomé de Paz,10
52,1051,Ágata del Juárez,2
53,1052,Trinidad Escamilla Pellicer,2
54,1053,Begoña Tania Palmer Morante,3
55,1054,Elisa Uriarte Calvo,5
56,1055,Cirino Segarra,2
57,1056,Gracia Navarro Bermejo,8
58,1057,Jacobo Martín-Jimenez,5
59,1058,Fidela Carbonell Rivas,5
60,1059,Ernesto Peñas,6
61,1060,Eliseo Gutierrez Grande,4
62,1061,Rómulo Sarmiento Cortina,4
63,1062,Roberto Pombo-Leon,4
64,1063,Victor Rios,2
65,1064,Encarnación Peiró Pedrosa,6
